ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR_2017-07-03-O1001_u26	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	NG	Nouvelle Gauche		Faure, Olivier	M	1968
ParlaMint-FR_2017-07-03-O1001_u27	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	NG	Nouvelle Gauche		Vallaud, Boris	M	1975
ParlaMint-FR_2017-07-03-O1001_u28	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	NG	Nouvelle Gauche		Faure, Olivier	M	1968
ParlaMint-FR_2017-07-03-O1001_u29	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Government	MP				Castaner, Christophe	M	1966
ParlaMint-FR_2017-07-03-O1001_u30	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	NG	Nouvelle Gauche		Faure, Olivier	M	1968
ParlaMint-FR_2017-07-03-O1001_u31	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Government	MP				Castaner, Christophe	M	1966
ParlaMint-FR_2017-07-03-O1001_u32	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	NG	Nouvelle Gauche		Faure, Olivier	M	1968
ParlaMint-FR_2017-07-03-O1001_u33	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u34	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Guest	notMP				Barbier, Gilbert	M	1940
ParlaMint-FR_2017-07-03-O1001_u35	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Guest	notMP				Barbier, Gilbert	M	1940
ParlaMint-FR_2017-07-03-O1001_u36	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u37	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Guest	notMP				Adnot, Philippe	M	1945
ParlaMint-FR_2017-07-03-O1001_u38	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Chairperson	MP	LAREM	La République en Marche		de Rugy, François	M	1973
