ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-01-05-commons.u166	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Redwood, John Alan	M	-
ParlaMint-GB_2015-01-05-commons.u167	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u168	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Jamieson, Cathy	F	-
ParlaMint-GB_2015-01-05-commons.u169	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u170	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Haselhurst, Alan	M	-
ParlaMint-GB_2015-01-05-commons.u171	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u172	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Hopkins, Kelvin Peter	M	-
ParlaMint-GB_2015-01-05-commons.u173	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u174	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McIntosh, Anne	F	-
ParlaMint-GB_2015-01-05-commons.u175	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u176	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Corbyn, Jeremy Bernard	M	-
ParlaMint-GB_2015-01-05-commons.u177	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u178	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Soames, Nicholas	M	-
ParlaMint-GB_2015-01-05-commons.u179	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u180	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	UKIP	UK Independence Party	Opposition	Carswell, John Douglas Wilson	M	-
